LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:45:06 0                 
Time Ampl
9.99927734e-007 -5.12404e-013
9.99931641e-007 -5.15212e-013
9.99935547e-007 -5.18142e-013
9.99939453e-007 -5.20339e-013
9.99943359e-007 -5.20705e-013
9.99947266e-007 -5.22048e-013
9.99951172e-007 -5.22536e-013
9.99955078e-007 -5.23024e-013
9.99958984e-007 -5.24367e-013
9.99962891e-007 -5.27175e-013
9.99966797e-007 -5.28151e-013
9.99970703e-007 -5.26198e-013
9.99974609e-007 -5.26687e-013
9.99978516e-007 -5.25344e-013
9.99982422e-007 -5.23391e-013
9.99986328e-007 -5.23024e-013
9.99990234e-007 -5.21193e-013
9.99994141e-007 -5.19973e-013
9.99998047e-007 -5.21193e-013
1.00000195e-006 -5.18996e-013
1.00000586e-006 -5.18508e-013
1.00000977e-006 -5.16555e-013
1.00001367e-006 -5.16799e-013
1.00001758e-006 -5.17043e-013
1.00002148e-006 -5.16799e-013
1.00002539e-006 -5.14846e-013
1.0000293e-006 -5.15334e-013
1.0000332e-006 -5.14602e-013
1.00003711e-006 -5.14724e-013
1.00004102e-006 -5.14479e-013
1.00004492e-006 -5.13991e-013
1.00004883e-006 -5.12893e-013
1.00005273e-006 -5.13625e-013
1.00005664e-006 -5.16311e-013
1.00006055e-006 -5.17653e-013
1.00006445e-006 -5.18874e-013
1.00006836e-006 -5.21193e-013
1.00007227e-006 -5.22292e-013
1.00007617e-006 -5.25588e-013
1.00008008e-006 -5.27541e-013
1.00008398e-006 -5.29128e-013
1.00008789e-006 -5.2864e-013
1.0000918e-006 -5.31203e-013
1.0000957e-006 -5.33645e-013
1.00009961e-006 -5.37062e-013
1.00010352e-006 -5.40236e-013
1.00010742e-006 -5.42434e-013
1.00011133e-006 -5.44997e-013
1.00011523e-006 -5.48659e-013
1.00011914e-006 -5.51711e-013
1.00012305e-006 -5.53908e-013
1.00012695e-006 -5.56838e-013
1.00013086e-006 -5.57204e-013
1.00013477e-006 -5.5989e-013
1.00013867e-006 -5.60988e-013
1.00014258e-006 -5.63552e-013
1.00014648e-006 -5.63674e-013
1.00015039e-006 -5.62331e-013
1.0001543e-006 -5.62209e-013
1.0001582e-006 -5.63674e-013
1.00016211e-006 -5.64284e-013
1.00016602e-006 -5.65749e-013
1.00016992e-006 -5.67092e-013
1.00017383e-006 -5.67214e-013
1.00017773e-006 -5.6819e-013
1.00018164e-006 -5.70998e-013
1.00018555e-006 -5.72341e-013
1.00018945e-006 -5.7051e-013
1.00019336e-006 -5.72951e-013
1.00019727e-006 -5.74416e-013
1.00020117e-006 -5.75026e-013
1.00020508e-006 -5.75759e-013
1.00020898e-006 -5.77468e-013
1.00021289e-006 -5.77834e-013
1.0002168e-006 -5.79299e-013
1.0002207e-006 -5.81496e-013
1.00022461e-006 -5.81008e-013
1.00022852e-006 -5.81252e-013
1.00023242e-006 -5.82229e-013
1.00023633e-006 -5.81984e-013
1.00024023e-006 -5.8113e-013
